"Ano";"UF";"Região";"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Causa.Afastamento.1";"Causa.Afastamento.2";"Causa.Afastamento.3";"Motivo.Desligamento";"CBO.94.Ocupação";"CBO.Ocupação.2002";"CNAE.2.0.Classe";"CNAE.95.Classe";"Distritos.SP";"Vínculo.Ativo.31.12";"Faixa.Etária";"Faixa.Hora.Contrat";"Faixa.Remun.Dezem..SM.";"Faixa.Remun.Média..SM.";"Faixa.Tempo.Emprego";"Grau.Instrução.2005.1985";"Escolaridade.após.2005";"Qtd.Hora.Contr";"Idade";"Ind.CEI.Vinculado";"Ind.Simples";"Mês.Admissão";"Mês.Desligamento";"Mun.Trab";"Município";"Nacionalidade";"Natureza.Jurídica";"Ind.Portador.Defic";"Qtd.Dias.Afastamento";"Raça.Cor";"Regiões.Adm.DF";"Vl.Remun.Dezembro.Nom";"Vl.Remun.Dezembro.SM";"Vl.Remun.Média.Nom";"Vl.Remun.Média.SM";"CNAE.2.0.Subclasse";"Sexo.Trabalhador";"Tamanho.Estabelecimento";"Tempo.Emprego";"Tipo.Admissão";"Tipo.Estab";"Tipo.Estab.1";"Tipo.Defic";"Tipo.Vínculo";"IBGE.Subsetor";"Vl.Rem.Janeiro.CC";"Vl.Rem.Fevereiro.CC";"Vl.Rem.Março.CC";"Vl.Rem.Abril.CC";"Vl.Rem.Maio.CC";"Vl.Rem.Junho.CC";"Vl.Rem.Julho.CC";"Vl.Rem.Agosto.CC";"Vl.Rem.Setembro.CC";"Vl.Rem.Outubro.CC";"Vl.Rem.Novembro.CC";"Ano.Chegada.Brasil";"Ind.Trab.Intermitente";"Ind.Trab.Parcial";"Tipo.Salário";"Vl.Salário.Contratual"
1996;"SC";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"74128";"0";1;5;5;"10";"10";2;5;NA;32;36;NA;NA;8;"0";NA;420540;10;3018;NA;NA;NA;"0";NA;10,71;NA;16,07;NA;2;8;4,3;2;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;"SC";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"74128";"0";1;6;5;"10";"10";2;5;NA;32;48;NA;NA;8;"0";NA;420540;10;3018;NA;NA;NA;"0";NA;10,71;NA;16,07;NA;2;8;4,3;2;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;"SC";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"75140";"0";1;5;6;"09";"08";2;9;NA;44;36;NA;NA;9;"0";NA;420910;10;1155;NA;NA;NA;"0";NA;9,04;NA;9,04;NA;2;6;3,2;4;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;"SE";"NORDESTE";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"73105";"0";1;4;6;"10";"9";1;9;NA;44;27;NA;NA;10;"0";NA;280030;10;3018;NA;NA;NA;"0";NA;10,48;NA;10,48;NA;1;6;2,9;2;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;"SE";"NORDESTE";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"73105";"0";1;4;6;"9";"8";1;9;NA;44;28;NA;NA;10;"0";NA;280030;10;3018;NA;NA;NA;"0";NA;7,14;NA;7,14;NA;2;6;2,9;2;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"MS";"CENTRO-OESTE";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"75140";"0";1;5;4;"8";"7";1;9;NA;24;35;NA;NA;10;"0";NA;500270;10;1139;NA;NA;NA;"0";NA;6,66;NA;6,66;NA;2;8;2,9;2;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"RS";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"74209";"0";1;4;6;"8";"7";3;9;NA;44;29;NA;NA;6;"0";NA;431033;10;2062;NA;NA;NA;"0";NA;6,26;NA;5,57;NA;2;7;6,6;1;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"RS";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"74209";"0";1;4;6;"8";"7";3;9;NA;44;25;NA;NA;6;"0";NA;431033;10;2062;NA;NA;NA;"0";NA;6,26;NA;5,57;NA;2;7;6,6;2;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"SC";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"67199";"0";1;6;5;"10";"09";4;5;NA;32;40;NA;NA;0;"0";NA;420540;10;3999;NA;NA;NA;"0";NA;10,85;NA;11,18;NA;1;8;16,3;0;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;"SC";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"67199";"0";1;5;5;"10";"09";4;5;NA;32;37;NA;NA;0;"0";NA;420540;10;3999;NA;NA;NA;"0";NA;10,85;NA;11,18;NA;2;8;16,3;0;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
