"Admitidos.Desligados";"Competência.Movimentação";"Município";"Ano.Movimentação";"CBO.94.Ocupação";"CBO.2002.Ocupação";"CNAE.1.0.Classe";"Faixa.Empr.Início.Jan";"Grau.Instrução";"Qtd.Hora.Contrat";"IBGE.Subsetor";"Idade";"Ind.Aprendiz";"Salário.Mensal";"Saldo.Mov";"Sexo";"Tempo.Emprego";"Tipo.Estab";"Tipo.Mov.Desagregado";"UF";"Competência.Declarada";"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Distritos.SP";"Regiões.Adm.DF";"Mesorregião";"Microrregião";"Região.Adm.RJ";"Região.Adm.SP";"Região.Corede";"Região.Corede.04";"Região.Gov.SP";"Região.Senac.PR";"Região.Senai.PR";"Região.Senai.SP";"Sub.Região.Senai.PR";"Região.Metro.MTE";"CNAE.2.0.Subclas";"Raça.Cor";"Ind.Portador.Defic";"Tipo.Defic";"Ind.Trab.Parcial";"Ind.Trab.Intermitente"
1;200809;351518;2008;"19245";251110;73202;2;9;44;21;25;0;12;1;2;0;1;2;35;200810;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200809;351518;2008;"19245";251110;73202;2;9;44;21;23;0;7,5;1;1;0;1;25;35;200810;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200809;351518;2008;"19245";251110;73202;2;9;44;21;27;0;5;1;1;0;1;25;35;200810;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200810;330455;2008;"19245";251110;91200;2;9;44;21;48;0;0;1;1;0;1;2;33;200811;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";3306;33018;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;" 6";9420100;8;0;5;NA;NA
1;200810;351518;2008;"19245";251110;73202;2;9;44;21;33;0;500;1;1;0;1;25;35;200811;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200810;351518;2008;"19245";251110;73202;2;9;44;21;32;0;0;1;1;0;1;25;35;200811;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200810;351518;2008;"19245";251110;73202;2;9;44;21;22;0;500;1;1;0;1;25;35;200811;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200807;351060;2008;"19245";251110;74993;2;9;44;19;30;0;30;1;1;0;1;2;35;200812;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3515;35057;"{ñ c";13;"{ñ c";99;1;99;"{ñ c";31;99;" 7";8299799;2;0;0;NA;NA
2;200807;351060;2008;"19245";251110;74993;2;9;44;19;27;0;30;-1;1;14;1;4;35;200812;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3515;35057;"{ñ c";13;"{ñ c";99;1;99;"{ñ c";31;99;" 7";8299799;2;0;0;NA;NA
1;200808;351060;2008;"19245";251110;74993;2;9;44;19;28;0;20;1;1;0;1;2;35;200812;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3515;35057;"{ñ c";13;"{ñ c";99;1;99;"{ñ c";31;99;" 7";8299799;2;0;0;NA;NA
